[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.93 | err_x=13.1px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.23
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.2px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.24
[CONTROL] det_conf=0.91 | err_x=12.3px err_y=-169.1px | cmd vx=5.00 vy=0.25 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.24
[CONTROL] det_conf=0.92 | err_x=10.5px err_y=-169.4px | cmd vx=5.00 vy=0.21 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.23
[CONTROL] det_conf=0.92 | err_x=8.7px err_y=-169.4px | cmd vx=5.00 vy=0.17 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=4.3px err_y=-169.3px | cmd vx=5.00 vy=0.09 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=2.5px err_y=-169.1px | cmd vx=5.00 vy=0.05 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.93 | err_x=4.9px err_y=-169.5px | cmd vx=5.00 vy=0.10 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=6.8px err_y=-169.0px | cmd vx=5.00 vy=0.14 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=11.1px err_y=-169.3px | cmd vx=5.00 vy=0.22 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=17.3px err_y=-168.6px | cmd vx=5.00 vy=0.35 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=19.8px err_y=-168.6px | cmd vx=5.00 vy=0.40 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.93 | err_x=19.9px err_y=-168.4px | cmd vx=5.00 vy=0.40 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.01 | Alt=-0.20
[CONTROL] det_conf=0.93 | err_x=16.9px err_y=-167.7px | cmd vx=5.00 vy=0.34 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.01 | Alt=-0.20
[CONTROL] det_conf=0.93 | err_x=12.1px err_y=-167.4px | cmd vx=5.00 vy=0.24 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.19
[CONTROL] det_conf=0.92 | err_x=8.0px err_y=-171.7px | cmd vx=5.00 vy=0.16 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.19
[CONTROL] det_conf=0.90 | err_x=3.8px err_y=-182.9px | cmd vx=5.00 vy=0.08 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.18
[CONTROL] det_conf=0.84 | err_x=7.3px err_y=-200.6px | cmd vx=5.00 vy=0.15 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.18
[CONTROL] det_conf=0.30 | err_x=7.4px err_y=-234.2px | cmd vx=5.00 vy=0.15 vz=-4.00 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.16
[CONTROL] det_conf=0.46 | err_x=110.2px err_y=-93.8px | cmd vx=5.00 vy=2.20 vz=-2.81 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.16
[CONTROL] det_conf=0.63 | err_x=110.0px err_y=-132.4px | cmd vx=5.00 vy=2.20 vz=-3.97 | meas vx=-0.02 vy=0.01 vz=0.00 | Alt=-0.15
[CONTROL] det_conf=0.78 | err_x=0.5px err_y=-219.9px | cmd vx=5.00 vy=0.01 vz=-4.00 | meas vx=-0.02 vy=0.01 vz=-0.01 | Alt=-0.10
[CONTROL] det_conf=0.86 | err_x=0.3px err_y=-190.2px | cmd vx=5.00 vy=0.01 vz=-4.00 | meas vx=-0.02 vy=0.01 vz=-0.01 | Alt=-0.08
[CONTROL] det_conf=0.93 | err_x=-3.0px err_y=-161.6px | cmd vx=5.00 vy=-0.06 vz=-4.00 | meas vx=-0.02 vy=0.01 vz=-0.01 | Alt=-0.08
